ID_pedido,años_experiencia_colaborador,clasificacion_colaborador,latitud_tienda,longitud_tienda,latitud_entrega,longitud_entrega,fecha_pedido,hora_pedido,hora_retirada,clima,trafico,vehiculo,area,categoria_producto,tiempo_entrega
lcwn330553507,16,4.7,18.56245,73.916619,18.65245,74.006619,2022-03-04,17:30:00,17:40:00,Tormenta,Medio,Scooter,Metropolitano,,105
wcjs752046999,10,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,09:20:00,09:30:00,Tormenta,Bajo,Motocicleta,Metropolitano,,100
blhl288691670,15,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,19:50:00,20:05:00,,Congestion,Scooter,Metropolitano,,205
zyvo118176215,12,4.5,19.176269,72.836721,19.266269,72.926721,2022-04-02,20:25:00,20:35:00,Tormenta,Congestion,,Metropolitano,,100
uhfs888375680,9,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,14:55:00,15:10:00,,Alto,Scooter,Metropolitano,,33
vmfv999642595,10,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,20:30:00,20:40:00,Tormenta,Congestion,Motocicleta,Metropolitano,Cosméticos,200
qfgc848777135,10,4.9,17.426228,78.407495,17.496228,78.477495,2022-03-20,20:40:00,20:50:00,Nublado,Congestion,Motocicleta,Metropolitano,,205
vwmc439983136,17,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,21:15:00,21:30:00,,Congestion,Motocicleta,Urbano,,75
ntzy027061451,15,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,20:20:00,20:25:00,Tormenta,Congestion,Motocicleta,Metropolitano,Juguetes,180
pbjm971961647,11,4.7,23.357804,85.325146,23.487804,85.455146,2022-03-10,22:30:00,22:45:00,Tormenta,Bajo,,Metropolitano,Libros,130
kjic578711491,8,5.0,11.003669,76.976494,11.013669,76.986494,2022-03-11,08:15:00,08:30:00,Tormenta,Bajo,Motocicleta,Metropolitano,Ropa,100
rkzt648036688,10,4.3,12.986047,80.218114,13.116047,80.348114,2022-03-27,19:30:00,19:45:00,,Congestion,Scooter,Metropolitano,,195
segh259958026,15,4.0,19.221315,72.862381,19.261315,72.902381,2022-03-26,12:25:00,12:30:00,Nublado,Alto,Motocicleta,Metropolitano,,170
owvs520891091,12,4.5,13.005801,80.250744,13.115801,80.360744,2022-03-27,18:35:00,18:50:00,Soleado,Medio,,Metropolitano,,75
edrh271340988,13,5.0,26.849596,75.800512,26.879596,75.830512,2022-04-05,20:35:00,20:40:00,Lluvioso,Congestion,Motocicleta,Urbano,Cosméticos,90
qvfd540651807,9,4.3,21.160522,72.771477,21.250522,72.861477,2022-03-12,23:20:00,23:30:00,Nublado,Bajo,Scooter,Metropolitano,Electrónicos,190
gzfn634029300,11,4.0,12.934179,77.615797,13.024179,77.705797,2022-03-16,21:20:00,21:35:00,,Congestion,Motocicleta,Metropolitano,Cosméticos,235
xjps180812498,16,4.8,18.51421,73.838429,18.62421,73.948429,2022-04-02,23:35:00,23:45:00,,Bajo,,Urbano,,60
ahpg083217029,11,4.8,11.022477,76.995667,11.052477,77.025667,2022-04-01,22:35:00,22:50:00,Tormenta,Bajo,Motocicleta,Metropolitano,,130
itii428784576,9,4.1,21.160437,72.774209,21.210437,72.824209,2022-03-05,22:35:00,22:40:00,Lluvioso,Bajo,Motocicleta,Urbano,Cosméticos,110
asis944862845,14,4.3,15.51315,73.78346,15.56315,73.83346,2022-02-11,23:25:00,23:35:00,Tormenta,Bajo,Motocicleta,Urbano,,105
xzkg140273315,8,4.9,15.561295,73.749478,15.601295,73.789478,2022-02-11,13:35:00,13:40:00,Nublado,Alto,Scooter,Urbano,,125
zotl583816092,11,3.5,0.0,0.0,0.11,0.11,2022-03-08,21:35:00,21:45:00,Lluvioso,Congestion,Scooter,Urbano,,35
agoo012263585,11,4.6,18.563934,73.915367,18.693935,74.045367,2022-04-02,22:35:00,22:45:00,Nublado,Bajo,Scooter,Metropolitano,Deportes,150
ezif478391605,10,4.9,18.55144,73.804855,18.62144,73.874855,2022-03-08,18:55:00,19:10:00,Soleado,Medio,Motocicleta,Metropolitano,,110
tixw400453550,17,4.7,18.593481,73.785901,18.633481,73.825901,2022-04-03,14:15:00,14:25:00,,Alto,Scooter,Urbano,Juguetes,50
mrfx777445506,17,4.8,21.173343,72.792731,21.183343,72.802731,2022-03-30,11:00:00,11:10:00,Tormenta,Bajo,Scooter,Metropolitano,,95
czjt755903822,9,5.0,17.451976,78.385883,17.471976,78.405883,2022-04-01,09:45:00,09:55:00,Soleado,Bajo,Scooter,Urbano,Ropa,55
zqtj827550147,14,4.9,12.972532,77.608179,12.992532,77.628179,2022-03-28,08:40:00,08:55:00,Lluvioso,Bajo,Scooter,Metropolitano,,55
luka250567007,16,4.8,12.972532,77.608179,13.042532,77.678179,2022-03-18,23:00:00,23:10:00,,Bajo,Motocicleta,Metropolitano,Libros,140
zkat983341391,9,4.3,13.064181,80.236442,13.134181,80.306442,2022-03-14,17:25:00,17:30:00,Nublado,Medio,Motocicleta,Metropolitano,,33
ydhu273019158,8,4.7,21.149569,72.772697,21.239569,72.862697,2022-04-04,19:45:00,19:50:00,Tormenta,Congestion,Motocicleta,Metropolitano,Ropa,260
rpuq263118672,13,4.6,19.091458,72.827808,19.201458,72.937808,2022-03-08,19:10:00,19:25:00,Lluvioso,Congestion,Scooter,Metropolitano,Cosméticos,110
nvck471535045,8,4.9,22.539129,88.365507,22.559129,88.385507,2022-02-13,10:55:00,11:00:00,,Bajo,Scooter,Urbano,,16
rxgx102974679,16,4.9,19.221315,72.862381,19.281315,72.922381,2022-03-24,21:40:00,21:45:00,Soleado,Congestion,,Metropolitano,,55
ikas794013321,13,4.9,12.970324,77.645748,13.030324,77.705748,2022-03-19,19:00:00,19:15:00,,Medio,Scooter,Metropolitano,,125
dsyl658069912,8,4.8,13.064181,80.236442,13.104181,80.276442,2022-03-09,16:45:00,16:55:00,Nublado,Medio,Motocicleta,Urbano,,130
wzoc344425774,10,5.0,21.175975,72.795503,21.185975,72.805503,2022-03-19,11:30:00,11:40:00,Soleado,Alto,Scooter,Metropolitano,,90
dwnh519656346,11,4.9,23.369746,85.33982,23.409746,85.37982,2022-04-03,15:10:00,15:15:00,,Medio,Motocicleta,Metropolitano,Libros,80
yakw330215137,11,4.8,12.914264,77.6784,13.024264,77.7884,2022-03-25,22:45:00,22:55:00,Lluvioso,Bajo,Scooter,Metropolitano,Cosméticos,115
dcdm719150402,15,5.0,0.0,0.0,0.03,0.03,2022-02-13,22:10:00,22:25:00,Nublado,Bajo,Motocicleta,Metropolitano,,75
fris321432357,13,4.8,11.003681,76.975525,11.083681,77.055525,2022-04-04,20:45:00,20:55:00,Tormenta,Congestion,Motocicleta,Metropolitano,,180
mxuw713526914,11,4.7,21.173343,72.792731,21.233343,72.852731,2022-03-26,22:50:00,23:05:00,Nublado,Bajo,Motocicleta,Metropolitano,Ropa,80
carl449634661,15,4.7,10.96185,76.971082,11.05185,77.061082,2022-03-10,17:55:00,18:00:00,Soleado,Medio,Motocicleta,Urbano,,95
msnw786727644,7,4.6,27.165108,78.015053,27.255108,78.105053,2022-02-14,22:45:00,23:00:00,Soleado,Bajo,Motocicleta,Metropolitano,,135
bbow373480117,7,4.2,0.0,0.0,0.08,0.08,2022-03-02,20:35:00,20:50:00,,Congestion,Scooter,,,245
vizd072469706,11,4.5,26.88842,75.800689,26.89842,75.810689,2022-03-26,09:25:00,09:40:00,,Bajo,Scooter,,,100
etss702593505,9,4.7,0.0,0.0,0.06,0.06,2022-03-13,20:15:00,20:20:00,Nublado,Congestion,Motocicleta,Metropolitano,Deportes,150
rxxx129114996,15,4.8,26.913987,75.752891,26.993987,75.832891,2022-03-29,22:25:00,22:35:00,Tormenta,Bajo,Scooter,Urbano,Cosméticos,90
bull762076829,10,4.9,12.3085,76.665808,12.3385,76.695808,2022-03-30,21:55:00,22:00:00,Soleado,Congestion,Scooter,Metropolitano,Libros,110
fpkv432118410,12,4.4,21.183434,72.814492,21.253434,72.884492,2022-03-12,22:40:00,22:55:00,Nublado,Bajo,Scooter,Metropolitano,,170
udpq945815554,10,5.0,19.254567,72.848923,19.364567,72.958923,2022-03-31,23:50:00,23:55:00,Tormenta,Bajo,Motocicleta,Urbano,,120
qeqp930384577,9,4.9,18.55144,73.804855,18.59144,73.844855,2022-03-17,15:25:00,15:40:00,,Medio,Scooter,Metropolitano,,85
cwvq091479872,17,4.8,25.449659,81.839744,25.469659,81.859744,2022-02-15,10:20:00,10:30:00,Tormenta,Bajo,,Metropolitano,,70
ivtf765857546,7,4.9,30.372202,78.077151,30.422202,78.127151,2022-02-15,20:55:00,21:00:00,Lluvioso,Congestion,Motocicleta,Metropolitano,,150
emlt327861941,16,4.8,0.0,0.0,0.02,0.02,2022-03-07,10:40:00,10:50:00,Lluvioso,Bajo,Scooter,Metropolitano,,15
rufz727804632,9,4.8,0.0,0.0,0.04,0.04,2022-03-28,15:55:00,16:05:00,,Medio,Scooter,Urbano,,80
gkrb550339468,7,4.6,12.972793,80.249982,13.062793,80.339982,2022-03-16,20:10:00,20:15:00,Nublado,Congestion,Scooter,Metropolitano,,180
tsec016509855,16,4.7,21.157735,72.768778,21.197735,72.808778,2022-03-17,12:10:00,12:15:00,Soleado,Alto,Scooter,Urbano,Deportes,90
xczs106918282,11,4.6,21.186438,72.794115,21.226438,72.834115,2022-03-15,15:30:00,15:45:00,,Medio,Scooter,Metropolitano,,85
lgee738117860,15,4.8,0.0,0.0,0.08,0.08,2022-03-25,22:10:00,22:15:00,Tormenta,Bajo,Motocicleta,Urbano,,75
nxfs257449148,12,4.7,0.0,0.0,0.02,0.02,2022-03-09,10:35:00,10:45:00,,Bajo,Motocicleta,Metropolitano,Libros,85
wycd588946822,14,4.7,17.431477,78.40035,17.491477,78.46035,2022-03-05,23:50:00,00:05:00,,Bajo,Motocicleta,Metropolitano,,50
bhdi726355812,17,4.5,0.0,0.0,0.05,0.05,2022-02-11,21:10:00,21:25:00,,Congestion,Motocicleta,Metropolitano,Deportes,135
wnbv620439671,9,4.1,13.064181,80.236442,13.154181,80.326442,2022-03-12,20:25:00,20:40:00,Tormenta,Congestion,Motocicleta,Metropolitano,,185
jvco758418006,7,4.6,12.933298,77.614293,13.023298,77.704293,2022-03-29,20:50:00,21:00:00,,Congestion,Scooter,Metropolitano,Electrónicos,220
zkks967394571,10,4.7,22.311358,73.164798,22.351358,73.204798,2022-03-19,12:35:00,12:45:00,,Alto,,Metropolitano,,140
oiyh656906407,13,4.7,12.934365,77.616155,13.044365,77.726155,2022-03-10,21:00:00,21:15:00,Nublado,Congestion,Scooter,Metropolitano,,210
dfit633531471,12,4.8,0.0,0.0,0.11,0.11,2022-02-16,23:40:00,23:55:00,,Bajo,Motocicleta,Metropolitano,Deportes,125
qhxw976953297,15,4.4,13.086438,80.220672,13.196438,80.330672,2022-03-27,18:15:00,18:20:00,Nublado,Medio,Scooter,Metropolitano,,195
mryb985330207,15,4.7,19.254567,72.848923,19.364567,72.958923,2022-03-27,18:20:00,18:25:00,Lluvioso,Medio,Motocicleta,Urbano,Electrónicos,100
jzam829230168,12,5.0,26.913483,75.803139,26.933483,75.823139,2022-03-24,11:45:00,11:50:00,Lluvioso,Alto,Motocicleta,Metropolitano,,155
xnod694467359,15,4.6,17.411028,78.329645,17.471028,78.389645,2022-03-09,20:45:00,20:55:00,Lluvioso,Congestion,Motocicleta,Metropolitano,,65
hcno407153953,7,4.8,18.516216,73.842527,18.566216,73.892527,2022-03-03,21:55:00,22:10:00,Lluvioso,Congestion,Motocicleta,Metropolitano,,140
gyjc869072111,15,4.8,15.5696,73.742294,15.6096,73.782294,2022-02-15,12:45:00,12:50:00,,Alto,Scooter,Urbano,,95
wkqq813752515,8,4.6,19.876428,75.364792,19.956428,75.444792,2022-02-18,23:30:00,23:45:00,,Bajo,Motocicleta,Urbano,,210
vdfj488526028,15,5.0,12.939496,77.625999,12.949496,77.635999,2022-03-01,10:50:00,10:55:00,,Bajo,Motocicleta,Metropolitano,Electrónicos,115
pngq326709686,15,4.2,17.433809,78.386744,17.543809,78.496744,2022-03-23,21:25:00,21:40:00,Lluvioso,Congestion,Motocicleta,Metropolitano,Cosméticos,195
caja224507886,11,4.6,23.374878,85.335739,23.384878,85.345739,2022-04-01,10:10:00,10:20:00,Lluvioso,Bajo,Motocicleta,Metropolitano,,125
hnme204254454,10,4.7,-27.163303,78.057044,27.233303,78.127044,2022-02-16,23:00:00,23:05:00,Tormenta,Bajo,Scooter,Metropolitano,Ropa,75
uehx759760979,8,4.9,22.74806,75.8934,22.76806,75.9134,2022-03-11,08:40:00,08:55:00,Nublado,Bajo,Scooter,Urbano,Libros,75
sdod930462581,9,4.8,26.891191,75.802083,26.981191,75.892083,2022-03-14,17:50:00,17:55:00,Soleado,Medio,,Metropolitano,,75
visy471360404,15,5.0,21.160437,72.774209,21.270437,72.884209,2022-03-18,20:25:00,20:40:00,Lluvioso,Congestion,Motocicleta,Metropolitano,Electrónicos,75
wddq796276216,12,5.0,12.316967,76.603067,12.366967,76.653067,2022-04-01,22:20:00,22:25:00,Soleado,Bajo,Motocicleta,Metropolitano,,90
pqya338067587,9,4.7,18.927584,72.832585,19.017584,72.922585,2022-04-04,23:40:00,23:50:00,Tormenta,Bajo,,Metropolitano,Ropa,145
last796029882,10,4.7,11.022298,76.998349,11.072298,77.048349,2022-03-11,23:25:00,23:30:00,,Bajo,Motocicleta,Metropolitano,,100
mzyt873581742,9,4.4,12.325461,76.632278,12.365461,76.672278,2022-03-13,12:40:00,12:55:00,Nublado,Alto,Scooter,Metropolitano,,195
kbhb286226770,17,4.8,18.530963,73.828972,18.640963,73.938972,2022-03-04,23:30:00,23:45:00,,Bajo,Motocicleta,Metropolitano,Deportes,95
okvp821614347,15,4.8,17.458998,78.500366,17.488998,78.530366,2022-03-26,23:55:00,00:10:00,Nublado,Bajo,Scooter,Urbano,,19
oska955853002,16,4.8,19.1813,72.836191,19.3113,72.966191,2022-03-16,22:50:00,23:00:00,,Bajo,Motocicleta,Metropolitano,Electrónicos,85
rgwl479077727,15,4.6,11.022477,76.995667,11.032477,77.005667,2022-03-01,10:25:00,10:40:00,Lluvioso,Bajo,Motocicleta,Urbano,Libros,75
tmzv371880726,15,4.3,22.727021,75.884167,22.747021,75.904167,2022-03-15,08:45:00,09:00:00,Tormenta,Bajo,Motocicleta,Urbano,,95
ofxt601212694,13,4.6,12.979166,77.640709,13.069166,77.730709,2022-03-04,21:25:00,21:40:00,Tormenta,Congestion,Motocicleta,Metropolitano,,145
lbui872023073,16,4.8,18.994237,72.825553,19.104237,72.935553,2022-03-18,22:35:00,22:40:00,Nublado,Bajo,Scooter,Urbano,,110
ixfk439251990,17,4.3,12.284747,76.625861,12.414747,76.755861,2022-03-23,20:10:00,20:20:00,,Congestion,Scooter,Metropolitano,Libros,210
njfz936670348,13,4.7,21.175975,72.795503,21.195975,72.815503,2022-03-15,10:55:00,11:10:00,Tormenta,Bajo,Scooter,Urbano,Deportes,60
drir663128253,11,4.2,11.000762,76.981876,11.130762,77.111876,2022-03-08,20:35:00,20:45:00,Nublado,Congestion,Motocicleta,Metropolitano,,190
drdr957134932,15,4.6,21.173343,72.792731,21.283343,72.902731,2022-03-10,23:20:00,23:35:00,Soleado,Bajo,Motocicleta,Metropolitano,,115
qrzj427928057,7,4.7,26.479108,80.315042,26.499108,80.335042,2022-02-11,10:35:00,10:50:00,Nublado,Bajo,Scooter,Metropolitano,Libros,75
hkit681446136,13,4.6,21.175104,72.804342,21.255104,72.884342,2022-03-14,23:45:00,23:50:00,Soleado,Bajo,Motocicleta,Metropolitano,,120
imnm972342448,7,3.8,19.176269,72.836721,19.286269,72.946721,2022-03-16,19:55:00,20:00:00,,Congestion,Motocicleta,Metropolitano,Libros,185
wnne890905509,11,4.8,12.975377,77.696664,13.025377,77.746664,2022-03-01,22:15:00,22:25:00,Tormenta,Bajo,Scooter,Metropolitano,Deportes,120
kbdc711046313,11,4.8,23.359194,85.325447,23.419194,85.385447,2022-03-01,23:10:00,23:15:00,Soleado,Bajo,,Metropolitano,,65
alem833315854,17,4.8,12.297954,76.665169,12.307954,76.675169,2022-03-30,09:15:00,09:30:00,Nublado,Bajo,Motocicleta,,Deportes,80
khjm619520065,9,4.9,23.359407,85.325055,23.439407,85.405055,2022-03-02,18:25:00,18:35:00,Nublado,Medio,Motocicleta,Urbano,Cosméticos,210
oiay843077855,17,4.9,23.416792,85.316842,23.506792,85.406842,2022-03-20,22:10:00,22:20:00,Tormenta,Bajo,Motocicleta,Metropolitano,Juguetes,85
ohhc448549441,15,4.6,26.892312,75.806896,26.922313,75.836896,2022-04-03,20:50:00,21:05:00,Nublado,Congestion,Motocicleta,Metropolitano,,125
knul324217390,7,4.2,22.761593,75.886362,22.871593,75.996362,2022-03-29,18:45:00,18:50:00,,Medio,Scooter,Metropolitano,Ropa,195
buux572471968,8,4.8,11.026117,76.944652,11.066117,76.984652,2022-03-17,14:55:00,15:05:00,Soleado,Alto,Scooter,Metropolitano,,90
ieue797662723,11,4.9,13.064181,80.236442,13.104181,80.276442,2022-03-17,16:50:00,17:00:00,Tormenta,Medio,Motocicleta,Metropolitano,Libros,140
eztk468187811,16,4.5,26.483042,80.317833,26.533042,80.367833,2022-02-15,22:20:00,22:35:00,Tormenta,Bajo,Scooter,Metropolitano,,90
zzid436960558,16,4.9,11.000762,76.981876,11.130762,77.111876,2022-03-18,00:00:00,00:15:00,,Bajo,Scooter,Metropolitano,Ropa,90
kllk327072475,10,4.7,23.359033,85.325347,23.469033,85.435347,2022-03-08,21:10:00,21:20:00,,Congestion,Scooter,Metropolitano,,245
uurs547552548,16,,22.569358,88.433452,22.599358,88.463452,2022-02-17,23:25:00,23:35:00,Soleado,Bajo,Motocicleta,Metropolitano,,75
ubwl989345056,13,4.6,12.914264,77.6784,12.994264,77.7584,2022-03-31,23:30:00,23:35:00,Soleado,Bajo,Motocicleta,Metropolitano,,105
iimu721647260,10,4.7,19.121999,72.908493,19.161999,72.948493,2022-03-01,14:20:00,14:35:00,Soleado,Alto,Scooter,Metropolitano,Juguetes,115
tfxz025621580,14,5.0,21.157729,72.768726,21.167729,72.778726,2022-04-03,10:15:00,10:25:00,,Bajo,Scooter,Urbano,Deportes,55
kgjb145446786,11,4.6,22.311603,73.165012,22.371603,73.225012,2022-03-24,21:20:00,21:35:00,Nublado,Congestion,Motocicleta,Metropolitano,,125
xrxy085440961,11,4.9,18.536562,73.896485,18.556562,73.916485,2022-03-07,08:50:00,08:55:00,,Bajo,Motocicleta,Metropolitano,Libros,90
pnzt689957903,13,4.7,22.745536,75.893106,22.765536,75.913106,2022-03-09,09:00:00,09:05:00,Nublado,Bajo,Motocicleta,Metropolitano,,70
qrng205617369,17,4.9,12.933298,77.614293,13.023298,77.704293,2022-03-12,17:45:00,18:00:00,,Medio,Motocicleta,Metropolitano,,180
gycd207308146,13,4.8,12.939496,77.625999,12.989496,77.675999,2022-03-24,23:10:00,23:15:00,,Bajo,Motocicleta,Metropolitano,,90
wqfy256790455,15,4.9,0.0,0.0,0.04,0.04,2022-03-30,16:35:00,16:50:00,,Medio,Scooter,Urbano,Juguetes,85
vgjr167867003,10,4.4,17.426228,78.407495,17.436228,78.417495,2022-03-05,08:30:00,08:40:00,Tormenta,Bajo,Motocicleta,Metropolitano,Electrónicos,140
jqco336937571,17,4.6,12.934365,77.616155,13.024365,77.706155,2022-03-18,20:35:00,20:50:00,,Congestion,Motocicleta,Metropolitano,,220
iwkp065421476,11,4.3,11.003669,76.976494,11.063669,77.036494,2022-03-13,23:25:00,23:40:00,,Bajo,Motocicleta,Metropolitano,Juguetes,100
nwvu459529234,9,5.0,22.311358,73.164798,22.381358,73.234798,2022-03-31,19:55:00,20:05:00,,Congestion,Motocicleta,Metropolitano,,175
jjcl090851660,11,4.2,12.986047,80.218114,13.096047,80.328114,2022-03-23,21:20:00,21:30:00,Tormenta,Congestion,Motocicleta,Metropolitano,,50
bpbi053158546,7,4.1,17.41233,78.449654,17.47233,78.509654,2022-03-24,21:45:00,21:50:00,Lluvioso,Congestion,Scooter,Metropolitano,Electrónicos,170
ksec432319879,12,4.6,21.17106,72.789292,21.25106,72.869292,2022-03-12,19:40:00,19:55:00,Soleado,Congestion,,Metropolitano,,85
rszv454658332,12,4.6,21.186884,72.793616,21.226884,72.833616,2022-03-03,14:50:00,15:00:00,Tormenta,Alto,Scooter,Urbano,,115
cdyc438548517,8,4.9,11.026117,76.944652,11.056117,76.974652,2022-03-09,18:10:00,18:20:00,,Medio,Motocicleta,Metropolitano,Libros,135
xoka811702118,10,4.7,0.0,0.0,0.04,0.04,2022-03-17,12:20:00,12:30:00,Nublado,Alto,Motocicleta,Urbano,,130
nyum131271823,11,3.9,19.065838,72.832658,19.135838,72.902658,2022-03-18,23:40:00,23:50:00,Nublado,Bajo,Scooter,Metropolitano,,175
iwoy649851528,8,4.6,0.0,0.0,0.04,0.04,2022-03-19,12:50:00,12:55:00,,Alto,Motocicleta,Urbano,,205
lhus187289759,14,4.4,12.98041,77.640489,13.04041,77.700489,2022-03-07,23:20:00,23:30:00,Tormenta,Bajo,Motocicleta,,Juguetes,115
szbb646301545,15,4.6,11.022477,76.995667,11.132477,77.105667,2022-03-04,17:50:00,18:00:00,Lluvioso,Medio,Motocicleta,Metropolitano,Ropa,150
bwgn919229310,16,4.8,0.0,0.0,0.02,0.02,2022-04-03,10:25:00,10:35:00,,Bajo,Scooter,Metropolitano,,95
pdxn136638766,9,4.9,0.0,0.0,0.01,0.01,2022-03-11,09:10:00,09:25:00,,Bajo,Scooter,Metropolitano,Electrónicos,135
zzsx562940707,7,4.8,12.310972,76.659264,12.350972,76.699264,2022-04-01,12:30:00,12:45:00,Nublado,Alto,Motocicleta,Metropolitano,Cosméticos,140
gyvm380029078,17,4.7,11.025083,77.015393,11.105083,77.095393,2022-03-20,17:10:00,17:20:00,Tormenta,Medio,Motocicleta,Metropolitano,Juguetes,120
umwc109456087,17,5.0,12.316967,76.603067,12.446967,76.733067,2022-03-31,19:15:00,19:30:00,Nublado,Congestion,Motocicleta,Urbano,Deportes,180
dsbe906886027,12,4.3,22.538731,88.364878,22.598731,88.424878,2022-02-13,23:50:00,23:55:00,Tormenta,Bajo,Motocicleta,Metropolitano,Cosméticos,140
xnzb532907287,9,4.8,11.001753,76.986241,11.111753,77.096241,2022-03-29,18:45:00,18:50:00,,Medio,Motocicleta,Urbano,,155
ltrp525870768,9,4.0,22.310237,73.158921,22.400237,73.248921,2022-03-16,20:40:00,20:45:00,Soleado,Congestion,Motocicleta,Metropolitano,,220
rbzk606295253,16,4.8,23.359033,85.325347,23.439033,85.405347,2022-03-14,22:10:00,22:25:00,,Bajo,Scooter,Metropolitano,Cosméticos,75
ltoi660207512,8,4.4,18.593481,73.785901,18.663481,73.855901,2022-03-31,17:20:00,17:25:00,,Medio,Motocicleta,Metropolitano,Juguetes,165
pkhq469939766,7,4.9,21.186438,72.794115,21.236438,72.844115,2022-03-17,19:55:00,20:10:00,,Congestion,Motocicleta,Metropolitano,Cosméticos,150
jgbc287273591,15,4.9,22.725748,75.898497,22.775748,75.948497,2022-03-28,18:15:00,18:25:00,Lluvioso,Medio,Scooter,Metropolitano,,110
xzzw562394658,12,4.1,0.0,0.0,0.07,0.07,2022-04-04,23:50:00,00:00:00,,Bajo,Motocicleta,Metropolitano,Deportes,215
gjwc226881646,9,4.8,17.450851,78.379347,17.540851,78.469347,2022-03-04,17:25:00,17:35:00,,Medio,Motocicleta,Metropolitano,,240
lrbb564302256,10,4.5,13.081878,80.248519,13.171878,80.338519,2022-03-04,23:45:00,00:00:00,Lluvioso,Bajo,,Metropolitano,,95
fkyd365052251,7,4.7,10.035573,76.336958,10.105573,76.406958,2022-02-14,18:30:00,18:35:00,,Medio,Motocicleta,Urbano,Cosméticos,105
wciq107093545,11,4.3,22.308096,73.167753,22.388096,73.247753,2022-03-25,21:35:00,21:45:00,,Congestion,Motocicleta,Metropolitano,,220
edxx482704762,8,4.5,12.975996,80.221898,12.985996,80.231898,2022-03-17,08:40:00,08:55:00,,Bajo,Scooter,Metropolitano,Libros,130
jxsj508533395,8,4.7,12.3085,76.665808,12.3385,76.695808,2022-04-01,22:35:00,22:40:00,,Bajo,Scooter,Metropolitano,,26
xlta607070306,10,5.0,19.178321,72.834715,19.188321,72.844715,2022-03-19,11:45:00,11:50:00,,Alto,Motocicleta,Metropolitano,Deportes,155
lubd358643567,15,4.6,0.0,0.0,0.06,0.06,2022-03-07,23:25:00,23:40:00,Lluvioso,Bajo,Scooter,Urbano,,19
ycwb227184501,10,4.5,26.910262,75.783013,26.990262,75.863013,2022-03-02,19:10:00,19:15:00,Soleado,Congestion,Scooter,Metropolitano,,90
mikp615052003,7,4.7,25.443994,81.860187,25.513994,81.930187,2022-02-16,18:45:00,19:00:00,,Medio,Motocicleta,Metropolitano,Electrónicos,190
djrw974238657,8,4.6,23.359194,85.325447,23.449194,85.415447,2022-03-29,18:15:00,18:25:00,Nublado,Medio,Motocicleta,Metropolitano,,160
rxki994339301,15,4.9,17.458998,78.500366,17.508998,78.550366,2022-03-07,22:30:00,22:35:00,Tormenta,Bajo,Scooter,Metropolitano,,85
wfjy432968933,13,4.8,18.530963,73.828972,18.590963,73.888972,2022-03-03,19:00:00,19:05:00,,Medio,Scooter,Urbano,Libros,55
opdl820466364,8,4.7,12.321214,76.621094,12.361214,76.661094,2022-03-30,13:10:00,13:20:00,,Alto,Motocicleta,Metropolitano,Cosméticos,155
wbpn330130607,11,4.6,12.3085,76.665808,12.3685,76.725808,2022-03-19,17:55:00,18:05:00,,Medio,Motocicleta,Metropolitano,,125
